HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Label,Answer.Severity,Answer.Stressor,Approve,Reject
3DQYSJDTYLZWD533QZFZ12ICA02XES,3WZIO7X3RN6CDJUA3MJUPYKC4H8AXM,Short Survey About Stress,Tell us about something that has been stressing you out recently,"survey, demographics, stress, mental health",$0.05,Thu Nov 14 19:14:58 PST 2019,200,BatchId:3836415;OriginalHitTemplateId:920937332;,300,345600,Sat Nov 16 19:14:58 PST 2019,,,3018Q3ZVOJEBDGY9RXCN5K1OUPKRAU,A3L0GOUIOPF2YJ,Approved,Fri Nov 15 22:47:38 PST 2019,Fri Nov 15 22:49:22 PST 2019,Tue Nov 19 22:49:22 PST 2019,Tue Nov 19 09:53:10 PST 2019,,,104,100% (4/4),100% (4/4),100% (4/4),Financial Problem,5,Money sucks! Why do we have to work so much to get money?,,
3DQYSJDTYLZWD533QZFZ12ICA02XES,3WZIO7X3RN6CDJUA3MJUPYKC4H8AXM,Short Survey About Stress,Tell us about something that has been stressing you out recently,"survey, demographics, stress, mental health",$0.05,Thu Nov 14 19:14:58 PST 2019,200,BatchId:3836415;OriginalHitTemplateId:920937332;,300,345600,Sat Nov 16 19:14:58 PST 2019,,,30H4UDGLT36R34RJB8Y39GW9NORMPN,AXURHDDXJM2KP,Approved,Fri Nov 15 23:34:40 PST 2019,Fri Nov 15 23:36:16 PST 2019,Tue Nov 19 23:36:16 PST 2019,Tue Nov 19 09:53:10 PST 2019,,,96,100% (2/2),100% (2/2),100% (2/2),Family Issues,1,I've been fighting with my husband.,,
3DQYSJDTYLZWD533QZFZ12ICA02XES,3WZIO7X3RN6CDJUA3MJUPYKC4H8AXM,Short Survey About Stress,Tell us about something that has been stressing you out recently,"survey, demographics, stress, mental health",$0.05,Thu Nov 14 19:14:58 PST 2019,200,BatchId:3836415;OriginalHitTemplateId:920937332;,300,345600,Sat Nov 16 19:14:58 PST 2019,,,31EUONYN2WRS8R9RA0MF7CAW47BVOQ,AH2TT4YAN1UZL,Approved,Thu Nov 14 19:57:11 PST 2019,Thu Nov 14 19:58:16 PST 2019,Mon Nov 18 19:58:16 PST 2019,Mon Nov 18 19:59:13 PST 2019,,,65,100% (4/4),100% (4/4),100% (4/4),Work/School Productivity,6,Thanks for asking. Work is driving me crazy.,,
3DQYSJDTYLZWD533QZFZ12ICA02XES,3WZIO7X3RN6CDJUA3MJUPYKC4H8AXM,Short Survey About Stress,Tell us about something that has been stressing you out recently,"survey, demographics, stress, mental health",$0.05,Thu Nov 14 19:14:58 PST 2019,200,BatchId:3836415;OriginalHitTemplateId:920937332;,300,345600,Sat Nov 16 19:14:58 PST 2019,,,31QNSG6A5SHNC9LFLLU34C4T3QZ87J,A24BHVGF748W4X,Approved,Sat Nov 16 08:22:55 PST 2019,Sat Nov 16 08:23:51 PST 2019,Wed Nov 20 08:23:51 PST 2019,Tue Nov 19 09:53:10 PST 2019,,,56,100% (2/2),100% (1/1),100% (1/1),Health or Physical Pain,10,I've had horrible tooth problems that require surgery and I do not have enough money to,,
3DQYSJDTYLZWD533QZFZ12ICA02XES,3WZIO7X3RN6CDJUA3MJUPYKC4H8AXM,Short Survey About Stress,Tell us about something that has been stressing you out recently,"survey, demographics, stress, mental health",$0.05,Thu Nov 14 19:14:58 PST 2019,200,BatchId:3836415;OriginalHitTemplateId:920937332;,300,345600,Sat Nov 16 19:14:58 PST 2019,,,323Q6SJS8J4TKD1E68ML5HA94VJFHG,A201X4J184YI9K,Approved,Fri Nov 15 20:13:37 PST 2019,Fri Nov 15 20:14:07 PST 2019,Tue Nov 19 20:14:07 PST 2019,Tue Nov 19 09:53:10 PST 2019,,,30,100% (4/4),100% (4/4),100% (4/4),Travel/Holiday Stress,8,Thanksgiving is next week.,,
3DQYSJDTYLZWD533QZFZ12ICA02XES,3WZIO7X3RN6CDJUA3MJUPYKC4H8AXM,Short Survey About Stress,Tell us about something that has been stressing you out recently,"survey, demographics, stress, mental health",$0.05,Thu Nov 14 19:14:58 PST 2019,200,BatchId:3836415;OriginalHitTemplateId:920937332;,300,345600,Sat Nov 16 19:14:58 PST 2019,,,32XVDSJFP0LVBXQD9ANRD3OGCBRM2M,A321UTTHJSC5PO,Approved,Fri Nov 15 08:12:51 PST 2019,Fri Nov 15 08:14:57 PST 2019,Tue Nov 19 08:14:57 PST 2019,Tue Nov 19 08:15:14 PST 2019,,,126,100% (1/1),100% (1/1),100% (1/1),Personal/Social Issues,8,Things just keep piling up politically.,,
3DQYSJDTYLZWD533QZFZ12ICA02XES,3WZIO7X3RN6CDJUA3MJUPYKC4H8AXM,Short Survey About Stress,Tell us about something that has been stressing you out recently,"survey, demographics, stress, mental health",$0.05,Thu Nov 14 19:14:58 PST 2019,200,BatchId:3836415;OriginalHitTemplateId:920937332;,300,345600,Sat Nov 16 19:14:58 PST 2019,,,339ANSOTR6Q4WU4CD1V3L63TC0IIK9,A3QZ48XFC9YBMX,Approved,Thu Nov 14 23:04:41 PST 2019,Thu Nov 14 23:06:18 PST 2019,Mon Nov 18 23:06:18 PST 2019,Mon Nov 18 23:07:13 PST 2019,,,97,100% (1/1),100% (1/1),100% (1/1),Personal/Social Issues,9,Hey just wanted to left you know that I checked on the dogs they are doing great! Have f,,
3DQYSJDTYLZWD533QZFZ12ICA02XES,3WZIO7X3RN6CDJUA3MJUPYKC4H8AXM,Short Survey About Stress,Tell us about something that has been stressing you out recently,"survey, demographics, stress, mental health",$0.05,Thu Nov 14 19:14:58 PST 2019,200,BatchId:3836415;OriginalHitTemplateId:920937332;,300,345600,Sat Nov 16 19:14:58 PST 2019,,,33OOO72IVI9CMA8ZF0D9BUSUICACT0,A3UWKRIBHY1LAS,Approved,Fri Nov 15 17:08:22 PST 2019,Fri Nov 15 17:08:35 PST 2019,Tue Nov 19 17:08:35 PST 2019,Tue Nov 19 09:53:10 PST 2019,,,13,100% (4/4),100% (4/4),100% (4/4),Work/School Productivity,7,work,,
3DQYSJDTYLZWD533QZFZ12ICA02XES,3WZIO7X3RN6CDJUA3MJUPYKC4H8AXM,Short Survey About Stress,Tell us about something that has been stressing you out recently,"survey, demographics, stress, mental health",$0.05,Thu Nov 14 19:14:58 PST 2019,200,BatchId:3836415;OriginalHitTemplateId:920937332;,300,345600,Sat Nov 16 19:14:58 PST 2019,,,33OOO72IVI9CMA8ZF0D9BUSUIETTC4,AGJ0FJ5CMK7IU,Approved,Sat Nov 16 11:53:56 PST 2019,Sat Nov 16 11:55:23 PST 2019,Wed Nov 20 11:55:23 PST 2019,Tue Nov 19 09:53:10 PST 2019,,,87,100% (1/1),100% (1/1),100% (1/1),Work/School Productivity,10,My college admissions,,
3DQYSJDTYLZWD533QZFZ12ICA02XES,3WZIO7X3RN6CDJUA3MJUPYKC4H8AXM,Short Survey About Stress,Tell us about something that has been stressing you out recently,"survey, demographics, stress, mental health",$0.05,Thu Nov 14 19:14:58 PST 2019,200,BatchId:3836415;OriginalHitTemplateId:920937332;,300,345600,Sat Nov 16 19:14:58 PST 2019,,,33SA9F9TRYIJBPW76WOFO2ZW7GYEWA,A11SCRK2O7Z25M,Approved,Fri Nov 15 08:26:33 PST 2019,Fri Nov 15 08:27:04 PST 2019,Tue Nov 19 08:27:04 PST 2019,Tue Nov 19 08:27:14 PST 2019,,,31,100% (1/1),100% (1/1),100% (1/1),Family Issues,6,my kids are driving me crazy,,
