Answer.Label;Answer.Severity;Answer.Stressor
Everyday Decision Making;6;Well the stress of choosing what to eat. I wake up int the morning and find it difficult
Everyday Decision Making;8;'I''m still waiting for my food stamps to hit, they are overdue how am I gonna eat'
Everyday Decision Making;4;I was very upset about planning a meal today. can u please suggest a meal plan.
Exhaustion/Fatigue;4;Its been tough at work
Exhaustion/Fatigue;7;'my work/life balance aren''t in line with each other'
Exhaustion/Fatigue;2;i found nothing at the beach today
Exhaustion/Fatigue;6;Super busy and overwhelmed lately
Exhaustion/Fatigue;3;driving my kids all over town is getting crazy and really stressing me out
Exhaustion/Fatigue;6;Taking care of my kids after work, im always so tired
Exhaustion/Fatigue;9;nothing. just ordinary life
Exhaustion/Fatigue;6;'The political situation in America is pretty stressful, I can''t wait until November 2020'
Family Issues;10;Living with my mother
Family Issues;9;'I''m worried about moving'
Family Issues;9;Oh man, Im okay just been dealinth with some things going on
Family Issues;9;'Hey friend i''ve been taking care of my mother on a daily and it has me stressed out.'
Family Issues;9;I am going through a custody battle for my daughter.
Family Issues;9;My son failed his hearing test. Showed hearing loss in both ear. Maybe tubes again
Family Issues;3;Be Cool
Family Issues;9;Recently it has been my relationship.
Family Issues;8;'Recently, my children have been stressing me out with the terrible three''s'
Family Issues;5;Just issues with my fam
Family Issues;1;My kids. They never listen. I try so hard to be patient with them because I know its my
Family Issues;9;step son is acting up again.
Family Issues;3;I am having a difficult day today with my mother in law who suffers from dementia.
Family Issues;9;My daughter is depressed and I have tried everything to help her.
Family Issues;7;I have been stressed about the move coming up.
Family Issues;8;I have been stressed out by my daughter turning in her guidance counselor for bullying
Family Issues;6;i had the problem with my family and these issue had been become too high so please give
Family Issues;9;my grandmother is sick
Family Issues;8;I got in a fight with my brother :(
Family Issues;10;'I''ve been really stressed about Sean''s anxiety lately.'
Family Issues;9;My mom is driving me crazy
Family Issues;1;I dont know if I should be letting my kid watch so much tv.
Family Issues;5;'Some drama in my wife''s family'
Family Issues;10;My in laws inability to put their electronics away and spend time with their grandchild
Financial Problem;10;'Can''t get a job and the only place that calls me back is a shitty warehouse.'
Financial Problem;10;I dont have enough money and I fear homelessness.
Financial Problem;10;My boyfriend not having a steady income and us getting behind on our mortgage
Financial Problem;4;The amount of things I own that are breakingdown
Financial Problem;5;'Living in my mom''s house right now. Takes me back to how I felt as a child.'
Financial Problem;9;'I''m late on my rent and my electric will be shut off if I don''t pay by tomorrow. You?'
Financial Problem;8;'I am having problems at my apartment because my landlond won''t fix anything.'
Financial Problem;1;'Well, money''s been a little tight, but it''ll be fine.  Just a temporary issue.'
Financial Problem;5;Trying to pay off my debt
Financial Problem;7;I have been stressed about my financial situation because we currently have so much debt
Financial Problem;10;i applied for disability awhile back and i got a denial letter in the mail today.
Financial Problem;10;My financial situation is not getting better.
Financial Problem;10;The recent situation stressing me is my finances.
Financial Problem;6;Recently our money situation is stressing us out. I feel we should downsize.
Financial Problem;8;'Let''s talk about it in a phone call instead of texting.'
Financial Problem;8;the lost of my job
Financial Problem;10;money and bills has been stressing me out big time
Financial Problem;10;paying my mortgage cause im way behind
Financial Problem;5;Our toilet overflowed and water poured down to the first floor!
Financial Problem;7;money - money is always stressful
Financial Problem;8;'My boyfriend doesn''t have a job and money is really stressful right now.'
Financial Problem;7;I am excited about getting a lot of money and I want to spend wisely.
Financial Problem;8;'i''m stressed about finding a job'
Financial Problem;8;i have been looking for a new job
Financial Problem;9;I recently made a large purchase and have found myself financially unstable.
Financial Problem;7;job, even my office members not helping in my job
Financial Problem;5;'Life! If it isn''t one thing, it''s another'
Financial Problem;9;I might lose my job becase of budget cuts
Financial Problem;9;'I can''t seem to catch up on my medical bills.'
Financial Problem;9;'I''ve been dealing with a lot of housing stuff lately'
Financial Problem;7;I stress out about money, I wish I had more.
Financial Problem;9;'My dog has cancer, and I don''t know how I''m going to afford his treatment.'
Financial Problem;6;Car problems are starting to worry me.
Financial Problem;10;Trying to keep up and pay down my credit card debts.
Financial Problem;4;I have been having money issues
Financial Problem;10;we have been stressing over how we will pay our phone bill next week
Financial Problem;7;Financial situation
Financial Problem;9;ive been struggling to get my bills paid
Financial Problem;7;my recent stressful situation i am tired of being broke
Financial Problem;9;'The fact I have several bills that are due almost at the same time and it''s worrying me!'
Financial Problem;9;Being in the hospital for several days
Financial Problem;6;My moms spending habits who is on a fixed income. Doesnt matter how much i talk to her.
Financial Problem;7;'I''ve been wanting to go back to school and get a new place.'
Health or Physical Pain;5;Stressed about my poor weight loss efforts.
Health or Physical Pain;2;I have a current temporary medical condition
Health or Physical Pain;5;'I have been worried about the results of my son''s blood work.'
Health or Physical Pain;5;My sleep patterns due to midnight shifts at work.
Health or Physical Pain;8;I was having chest pains the other day
Health or Physical Pain;2;Getting my body in better shape, especially tightening my stomach.
Health or Physical Pain;5;a problem at work, school, or simply planning a meal and the work problem office
Health or Physical Pain;9;My extreme lower back pain
